RBD Name,Cell Name,Category,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,acv_pf_30,acv_pf_31,acv_pf_32
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Lrg-Rural-Gs-Gms-Handler-Ttl,CIGARETTES,MULTAN,Urban,1579202.666000,1579202.666000,1579202.666000,1548.238685,1548.238685,1548.238685,567,567,567,2746477.501100,2746477.501100,2746477.500330,286,0.5749920271939270465848273830,0.5749920271939270465848273830,0.5749920273551313021762627476
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Lrg-Rural-Gs-Gms-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,234.559974,234.559974,234.559974,567,567,567,2746477.501100,2746477.501100,2746477.500330,267,0,0,0
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Lrg-Rural-Kh-Ps-Pm-Total-Ttl,CIGARETTES,MULTAN,Urban,272466.249200,272466.249200,272466.249200,272.581179,272.581179,272.581179,567,567,567,2746477.501100,2746477.501100,2746477.500330,121,0.09920570952824981071897556350,0.09920570952824981071897556350,0.09920570955606303559614058308
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Lrg-Rural-Ks-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,378.933660,378.933660,378.933660,567,567,567,2746477.501100,2746477.501100,2746477.500330,64,0,0,0
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Cant-Cs-Ep-Total-Ttl,CIGARETTES,MULTAN,Urban,26501.491320,26501.491320,26501.491320,241.106185,241.106185,241.106185,567,567,567,2746477.501100,2746477.501100,2746477.500330,289,0.009649265762922072968296925693,0.009649265762922072968296925693,0.009649265765627332573211679415
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Gs-Gms-Handler-Ttl,CIGARETTES,MULTAN,Urban,3056701.775000,3056701.775000,3056701.775000,3567.437465,3567.437465,3567.437465,567,567,567,2746477.501100,2746477.501100,2746477.500330,656,1.112953510005361827647997113,1.112953510005361827647997113,1.112953510317388488198159934
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Gs-Gms-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,456.335764,456.335764,456.335764,567,567,567,2746477.501100,2746477.501100,2746477.500330,183,0,0,0
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Kh-Ps-Pm-Total-Ttl,CIGARETTES,MULTAN,Urban,70906.038610,70906.038610,70906.038610,127.872464,127.872464,127.872464,567,567,567,2746477.501100,2746477.501100,2746477.500330,255,0.02581708336645802060890583569,0.02581708336645802060890583569,0.02581708337369607524062377907
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Ks-Handler-Ttl,CIGARETTES,MULTAN,Urban,3614869.607000,3614869.607000,3614869.607000,4953.800006,4953.800006,4953.800006,567,567,567,2746477.501100,2746477.501100,2746477.500330,7678,1.316183950369954843829250257,1.316183950369954843829250257,1.316183950738959010680460163
Total Bahwalpur,National-Total Rural-Sp-Punjab-Bahwalpur-Med-Rural-Ks-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,765.821625,765.821625,765.821625,567,567,567,2746477.501100,2746477.501100,2746477.500330,214,0,0,0
