Category,Cell Name,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,sales_30,sales_31,sales_32,diff,lost_outlets,new_outlets,common_outlets,acv_pf_30,acv_pf_31,acv_pf_32,sales_vol_30,sales_vol_31,sales_vol_32,weighted_change,sales_val_30,sales_val_31,sales_val_32,val_change,Local (Other than PTC-PMI)_30,Local (Other than PTC-PMI)_31,Local (Other than PTC-PMI)_32,Philip Morris Pak Ltd_30,Philip Morris Pak Ltd_31,Philip Morris Pak Ltd_32,Pakistan Tobacco Company_30,Pakistan Tobacco Company_31,Pakistan Tobacco Company_32,ITB_30,ITB_31,ITB_32
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Cant-Cs-Ep-Total-Ttl,RAHIM YAR KHAN,Urban,146480.792900,146480.792900,146480.792900,519.106126,519.106126,519.106126,567,567,565,2746477.501100,2746477.501100,2738084.586386,157,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.05333405893233515846185935464,0.05333405893233515846185935464,0.05349754117470129504120633478,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Handler-Ttl,RAHIM YAR KHAN,Urban,1423327.247000,1423327.247000,1423327.247000,1513.836643,1513.836643,1513.836643,567,567,565,2746477.501100,2746477.501100,2738084.586386,34,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.5182373591008624337862048106,0.5182373591008624337862048106,0.5198258863429236688568946437,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,755.017923,755.017923,755.017923,567,567,565,2746477.501100,2746477.501100,2738084.586386,189,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Kh-Ps-Pm-Total-Ttl,RAHIM YAR KHAN,Urban,379946.090600,379946.090600,379946.090600,335.919418,335.919418,335.919418,567,567,565,2746477.501100,2746477.501100,2738084.586386,290,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.1383394149225058801993621036,0.1383394149225058801993621036,0.1387634598613664977892368632,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Handler-Ttl,RAHIM YAR KHAN,Urban,834762.036800,834762.036800,834762.036800,958.908696,958.908696,958.908696,567,567,565,2746477.501100,2746477.501100,2738084.586386,115,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.3039391498622023792845844842,0.3039391498622023792845844842,0.3048707994451709284828368781,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,668.166265,668.166265,668.166265,567,567,565,2746477.501100,2746477.501100,2738084.586386,185,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Cant-Cs-Ep-Total-Ttl,RAHIM YAR KHAN,Urban,300090.520500,300090.520500,300090.520500,420.374872,420.374872,420.374872,567,567,565,2746477.501100,2746477.501100,2738084.586386,67,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.1092637825650528137144549354,0.1092637825650528137144549354,0.1095987034118948509660864756,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Handler-Ttl,RAHIM YAR KHAN,Urban,11418735.660000,11418735.660000,11418735.660000,10404.601260,10404.601260,10404.601260,567,567,565,2746477.501100,2746477.501100,2738084.586386,98,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,4.157593009746720185866662951,4.157593009746720185866662951,4.170337073140460639431751358,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,1814.550781,1814.550781,1814.550781,567,567,565,2746477.501100,2746477.501100,2738084.586386,64,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Kh-Ps-Pm-Total-Ttl,RAHIM YAR KHAN,Urban,352861.925500,352861.925500,352861.925500,3260.730954,3260.730954,3260.730954,567,567,565,2746477.501100,2746477.501100,2738084.586386,156,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.1284779960362588822810728395,0.1284779960362588822810728395,0.1288718132575088679464928616,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
