Category,Cell Name,Area,Urbanity,cell_acv_30,cell_acv_31,num_universe_30,num_universe_31,store_30,store_31,panel_acv_30,panel_acv_31,optimal_panel,sales_30,sales_31,diff,lost_outlets,new_outlets,common_outlets,acv_pf_30,acv_pf_31,sales_vol_30,sales_vol_31,weighted_change,sales_val_30,sales_val_31,val_change,Local (Other than PTC-PMI)_30,Local (Other than PTC-PMI)_31,Philip Morris Pak Ltd_30,Philip Morris Pak Ltd_31,Pakistan Tobacco Company_30,Pakistan Tobacco Company_31,ITB_30,ITB_31
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Cant-Cs-Ep-Total-Ttl,MULTAN,Urban,146480.792900,146480.792900,519.106126,519.106126,566,567,2739775.688700,2746477.501100,157,309790.000000,243778.000000,-66012.000000,0,1,566,0.05346452029052928649705920723,0.05333405893233515846185935464,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Handler-Ttl,MULTAN,Urban,1423327.247000,1423327.247000,1513.836643,1513.836643,566,567,2739775.688700,2746477.501100,34,309790.000000,243778.000000,-66012.000000,0,1,566,0.5195050284117808698913286331,0.5182373591008624337862048106,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,755.017923,755.017923,566,567,2739775.688700,2746477.501100,189,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Kh-Ps-Pm-Total-Ttl,MULTAN,Urban,379946.090600,379946.090600,335.919418,335.919418,566,567,2739775.688700,2746477.501100,290,309790.000000,243778.000000,-66012.000000,0,1,566,0.1386778093429543322014951640,0.1383394149225058801993621036,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Handler-Ttl,MULTAN,Urban,834762.036800,834762.036800,958.908696,958.908696,566,567,2739775.688700,2746477.501100,115,309790.000000,243778.000000,-66012.000000,0,1,566,0.3046826206404099478788108132,0.3039391498622023792845844842,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,668.166265,668.166265,566,567,2739775.688700,2746477.501100,185,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Cant-Cs-Ep-Total-Ttl,MULTAN,Urban,300090.520500,300090.520500,420.374872,420.374872,566,567,2739775.688700,2746477.501100,67,309790.000000,243778.000000,-66012.000000,0,1,566,0.1095310545814757451752988102,0.1092637825650528137144549354,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Handler-Ttl,MULTAN,Urban,11418735.660000,11418735.660000,10404.601260,10404.601260,566,567,2739775.688700,2746477.501100,98,309790.000000,243778.000000,-66012.000000,0,1,566,4.167762969463420511006303098,4.157593009746720185866662951,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,1814.550781,1814.550781,566,567,2739775.688700,2746477.501100,64,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Kh-Ps-Pm-Total-Ttl,MULTAN,Urban,352861.925500,352861.925500,3260.730954,3260.730954,566,567,2739775.688700,2746477.501100,156,309790.000000,243778.000000,-66012.000000,0,1,566,0.1287922682704838324744858884,0.1284779960362588822810728395,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Ks-Handler-Ttl,MULTAN,Urban,2459254.113000,2459254.113000,3260.730954,3260.730954,566,567,2739775.688700,2746477.501100,158,309790.000000,243778.000000,-66012.000000,0,1,566,0.8976114808022458674501632751,0.8954211756750370999789582074,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Ks-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,1026.501010,1026.501010,566,567,2739775.688700,2746477.501100,252,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-SP-Punjab-Multan-City-ROA-Departmental Store/Super Markets-Total-TTL,MULTAN,Urban,2902.013889,2902.013889,33.558333,33.558333,566,567,2739775.688700,2746477.501100,130,309790.000000,243778.000000,-66012.000000,0,1,566,0.001059215869740409526249403426,0.001056631225938572462897500632,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-SP-Punjab-Multan-ROA-Kiosk/Hawker-Handler-LRG,MULTAN,Urban,10398.818280,10398.818280,1.628959,1.628959,566,567,2739775.688700,2746477.501100,139,309790.000000,243778.000000,-66012.000000,0,1,566,0.003795499873544081937454998923,0.003786238290987323901220360884,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Canteen-Total-Ttl,MULTAN,Urban,27016.966270,27016.966270,79.547619,79.547619,566,567,2739775.688700,2746477.501100,98,309790.000000,243778.000000,-66012.000000,0,1,566,0.009861013944108438354433668933,0.009836951607715465803565835735,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Corner/Snack Shop-Handler-Ttl,MULTAN,Urban,104742.700000,104742.700000,425.398165,425.398165,566,567,2739775.688700,2746477.501100,260,309790.000000,243778.000000,-66012.000000,0,1,566,0.03823039252154964199934722926,0.03813710469430358881012717283,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Corner/Snack Shop-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,569.686905,569.686905,566,567,2739775.688700,2746477.501100,157,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Eating Place/Highway Hotel-Total-Ttl,MULTAN,Urban,421.865714,421.865714,349.000000,349.000000,566,567,2739775.688700,2746477.501100,160,309790.000000,243778.000000,-66012.000000,0,1,566,0.0001539781945434268937930663083,0.0001536024649140716749343554271,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Lrg,MULTAN,Urban,226255.444500,226255.444500,49.566201,49.566201,566,567,2739775.688700,2746477.501100,104,309790.000000,243778.000000,-66012.000000,0,1,566,0.08258174033486524673679574869,0.08238022864173536775527602009,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Med,MULTAN,Urban,385007.641500,385007.641500,425.398165,425.398165,566,567,2739775.688700,2746477.501100,289,309790.000000,243778.000000,-66012.000000,0,1,566,0.1405252419341974723903243021,0.1401823395042556971776825891,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Sml,MULTAN,Urban,120569.364400,120569.364400,530.136626,530.136626,35,35,176309.882000,176309.882000,218,309790.000000,243778.000000,-66012.000000,0,0,35,0.6838491582678275514925476497,0.6838491582678275514925476497,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,1687.559524,1687.559524,566,567,2739775.688700,2746477.501100,253,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Handler-Ttl,MULTAN,Urban,13253.091120,13253.091120,30.904762,30.904762,566,567,2739775.688700,2746477.501100,264,309790.000000,243778.000000,-66012.000000,0,1,566,0.004837290576254612197515700950,0.004825486869887688664161109082,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,142.055952,142.055952,566,567,2739775.688700,2746477.501100,264,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Lrg,MULTAN,Urban,25935.110680,25935.110680,5.267085,5.267085,566,567,2739775.688700,2746477.501100,169,309790.000000,243778.000000,-66012.000000,0,1,566,0.009466143811322738962881870323,0.009443045016612242584083260525,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Med,MULTAN,Urban,35406.018470,35406.018470,17.237732,17.237732,566,567,2739775.688700,2746477.501100,103,309790.000000,243778.000000,-66012.000000,0,1,566,0.01292296249507924177676129914,0.01289142855014083625110530857,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Handler-Sml,MULTAN,Urban,60837.313350,60837.313350,90.079119,90.079119,566,567,2739775.688700,2746477.501100,252,309790.000000,243778.000000,-66012.000000,0,1,566,0.02220521687265090739397216113,0.02215103285049080644733485452,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiosk/Hawker-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,215.626190,215.626190,566,567,2739775.688700,2746477.501100,209,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Lrg,MULTAN,Urban,203154.221400,203154.221400,39.988724,39.988724,566,567,2739775.688700,2746477.501100,261,309790.000000,243778.000000,-66012.000000,0,1,566,0.07414994674122206360754616473,0.07396900987487940066417171059,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Med,MULTAN,Urban,301653.253800,301653.253800,410.966859,410.966859,53,53,270534.413600,270534.413600,43,309790.000000,243778.000000,-66012.000000,0,0,53,1.115027289082752021460385475,1.115027289082752021460385475,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Handler-Sml,MULTAN,Urban,189393.819700,189393.819700,821.147178,821.147178,566,567,2739775.688700,2746477.501100,79,309790.000000,243778.000000,-66012.000000,0,1,566,0.06912749115963786747357015483,0.06895880982973474539197636976,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Kiryana Store-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,1575.790476,1575.790476,566,567,2739775.688700,2746477.501100,120,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Lrg,MULTAN,Urban,198257.372700,198257.372700,26.820577,26.820577,566,567,2739775.688700,2746477.501100,77,309790.000000,243778.000000,-66012.000000,0,1,566,0.07236262936330799335339032494,0.07218605381642316050356666801,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Med,MULTAN,Urban,181836.719700,181836.719700,63.786933,63.786933,566,567,2739775.688700,2746477.501100,158,309790.000000,243778.000000,-66012.000000,0,1,566,0.06636919965746537431124698628,0.06620724896787686268514322475,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Pan/Cigarette Shop-Handler-Sml,MULTAN,Urban,301050.245200,301050.245200,361.582903,361.582903,566,567,2739775.688700,2746477.501100,179,309790.000000,243778.000000,-66012.000000,0,1,566,0.1098813477474302839995121532,0.1096132209637346225992719457,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Petro Mart-Total-Ttl,MULTAN,Urban,3100.713000,3100.713000,30.357143,30.357143,566,567,2739775.688700,2746477.501100,163,309790.000000,243778.000000,-66012.000000,0,1,566,0.001131739730660673775764057498,0.001128978117883042577384541896,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-Canteen-Total-Ttl,MULTAN,Urban,6399.740000,6399.740000,35.000000,35.000000,566,567,2739775.688700,2746477.501100,69,309790.000000,243778.000000,-66012.000000,0,1,566,0.002335862759274508924143662871,0.002330162907737937340279783441,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-Corner/Snack Shop-Handler-Ttl,MULTAN,Urban,139593.109500,139593.109500,108.000000,108.000000,566,567,2739775.688700,2746477.501100,192,309790.000000,243778.000000,-66012.000000,0,1,566,0.05095056141849179260512357141,0.05082623449276068784760233549,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-Corner/Snack Shop-Non Handler-Ttl,MULTAN,Urban,0.000000,0.000000,288.000000,288.000000,566,567,2739775.688700,2746477.501100,195,309790.000000,243778.000000,-66012.000000,0,1,566,0,0,6195800.000000,4875560.000000,-1320240.000000,18601749.000000,15975318.000000,-2626431.000000,173778.000000,138572.000000,43517.000000,42113.000000,84895.000000,56207.000000,5911.000000,6886.000000
